epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.246,1.43759,5.3073,1.80418,0.21671,0.3366,0.22548,0.14713,1.12015,4.27281,1.55227,7.777e-05,7.777e-05,7.777e-05
2,37.4447,1.09802,2.93383,1.55009,0.57372,0.76645,0.6779,0.52746,0.85591,3.40362,1.37637,0.0001661,0.0001661,0.0001661
3,44.6547,0.95867,1.68306,1.38403,0.76631,0.77644,0.94262,0.70238,0.97701,2.72455,1.52068,0.000253844,0.000253844,0.000253844
4,51.4653,0.98754,1.50406,1.41659,0.8632,0.76344,0.89164,0.5907,1.19361,2.37465,1.75251,0.000341,0.000341,0.000341
5,58.5052,0.93071,1.23534,1.37293,0.87114,0.73549,0.88372,0.60117,1.04896,1.94896,1.59008,0.000427571,0.000427571,0.000427571
6,64.9465,0.94301,1.15482,1.3852,0.79947,0.50553,0.69671,0.46834,1.02852,1.77176,1.70553,0.000513554,0.000513554,0.000513554
7,71.8275,0.94676,1.05114,1.39808,0.81736,0.78088,0.81627,0.4973,1.16484,1.22494,1.92174,0.000598951,0.000598951,0.000598951
8,78.0974,0.90209,0.86149,1.27837,0.779,0.69243,0.77667,0.52657,1.21157,1.24486,1.83205,0.000683762,0.000683762,0.000683762
9,85.0458,0.92324,0.85955,1.33381,0.65936,0.58782,0.60398,0.40139,1.34197,2.27075,2.23815,0.000767985,0.000767985,0.000767985
10,91.2682,0.90315,0.83987,1.3477,0.5002,0.59254,0.59969,0.37545,1.29667,1.73007,2.20028,0.000851623,0.000851623,0.000851623
11,98.1255,0.99429,0.88039,1.39765,0.53317,0.81934,0.69571,0.36464,1.7236,1.93151,2.34613,0.000934673,0.000934673,0.000934673
12,104.423,0.96205,0.86241,1.35222,0.68347,0.68045,0.69782,0.40256,1.54592,1.84942,2.02899,0.00101714,0.00101714,0.00101714
13,111.234,0.94574,0.78243,1.34074,0.33151,0.57769,0.43425,0.23537,1.61945,2.99469,2.23984,0.001067,0.001067,0.001067
14,117.514,0.89023,0.76666,1.32021,0.45118,0.68088,0.61974,0.35817,1.23563,2.04418,1.77557,0.00106334,0.00106334,0.00106334
15,124.466,0.96242,0.83785,1.36506,0.68667,0.61827,0.69874,0.44588,1.16952,1.67981,1.69903,0.00105967,0.00105967,0.00105967
